word1,word2,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
easy,flexible,4.1,2.07,2.64,1,0.27,0,1.08
certain,sure,8.42,1.68,1.73,1,0.23,0,1.29
essential,necessary,8.97,1.52,1.8,1,0.21,0,1.11
different,normal,1.08,1.97,1.4,1,0.21,0,1.75
sly,clever,7.25,2.03,1.79,1,0.21,0,1.41
crucial,important,8.82,2.08,2.14,1,0.21,0,1.25
harsh,cruel,8.18,2.23,2.11,1,0.21,0,1.66
childish,foolish,5.5,2.52,1.84,1,0.21,0,1.45
scarce,rare,9.17,2.57,1.96,1,0.21,0,1.21
friendly,generous,5.9,2.32,2.25,1,0.21,0,0.6
fragile,frigid,2.38,2.86,3.28,2,0.21,0,0.84
long,narrow,3.57,3.18,3.04,2,0.21,0,1.62
big,heavy,6.18,3.66,3.37,2,0.21,0,1.54
rough,frigid,2.47,3.83,3.28,2,0.21,0,1.37
bizarre,strange,9.37,1.79,1.86,1,0.2,0,1.54
illegal,immoral,4.28,2.37,1.59,1,0.2,0,1.57
bad,guilty,4.2,1.68,2.36,1,0.2,0,1.47
modern,ancient,0.73,2.31,2.04,1,0.2,0,0.71
new,ancient,0.23,2.81,2.04,1,0.2,0,0.46
dull,funny,0.55,2.37,2.5,1,0.2,0,1.76
happy,young,2,2.56,3.16,2,0.2,0,0.47
easy,big,1.12,2.07,3.66,2,0.2,0,1.22
great,awful,1.17,1.81,1.92,1,0.15,0,1.53
tiny,huge,0.6,3.11,3.54,2,0.15,0,0.59
polite,proper,7.63,1.85,1.78,1,0.14,0,1.42
modest,ashamed,2.65,2.21,1.74,1,0.14,0,1
exotic,rare,8.05,2.11,1.96,1,0.14,0,0.93
dumb,clever,1.17,2.36,1.79,1,0.14,0,1.3
delightful,wonderful,8.65,2.38,1.82,1,0.14,0,1.29
noticeable,obvious,8.48,2.29,2.07,1,0.14,0,1.69
afraid,anxious,5.07,2.7,1.68,1,0.14,0,1.28
formal,proper,8.02,2.7,1.78,1,0.14,0,1.31
dreary,dull,8.25,2.33,2.37,1,0.14,0,1.85
delightful,cheerful,6.58,2.38,2.34,1,0.14,0,1.56
unhappy,mad,5.95,2.04,2.76,1,0.14,0,1.36
sad,terrible,5.4,3.07,2.04,1,0.14,0,0.44
sick,crazy,3.57,2.97,2.37,2,0.14,0,0.95
violent,angry,6.98,3.1,2.53,2,0.14,0,1.55
laden,heavy,5.9,2.96,3.37,2,0.14,0,1.28
dirty,cheap,1.6,4.23,2.11,2,0.14,0,1.1
elastic,flexible,7.78,3.73,2.64,2,0.14,0,1.09
hard,dense,5.9,3.76,3.14,2,0.14,0,1
recent,new,7.05,2.5,2.81,2,0.13,0,1.05
bold,proud,3.97,2.43,2.07,1,0.12,0,1.36
sly,strange,1.97,2.03,1.86,1,0,0,1.07
strange,sly,2.07,1.86,2.03,1,0,0,0.51
dumb,rare,0.48,2.36,1.96,1,0,0,1.55
sly,tough,0.58,2.03,2.5,1,0,0,1.01
terrific,mad,0.4,2.07,2.76,1,0,0,0.86
modest,flexible,0.98,2.21,2.64,1,0,0,1.89
fresh,wide,0.4,1.97,3.06,1,0,0,1.41
huge,dumb,0.48,3.54,2.36,2,0,0,0.91
large,flexible,0.48,3.37,2.64,2,0,0,1.59
dirty,narrow,0.3,4.23,3.04,2,0,0,0.89
wife,husband,2.3,4.13,4.11,3,8.85,1,0.84
book,text,6.35,4.9,4.93,4,8.81,1,1.43
groom,bride,3.17,4.54,4.63,3,8.65,1,0.68
night,day,1.88,4.52,3.92,3,8.19,1,1.17
south,north,2.2,3.84,4.14,3,7.72,1,0.59
plane,airport,3.65,4.92,4.87,4,7.57,1,1.07
uncle,aunt,5.5,4.24,4.17,3,7.46,1,1.63
horse,mare,8.33,5,4.75,4,7.4,1,0.73
bottom,top,0.7,4.25,3.93,3,6.96,1,1.16
friend,buddy,8.78,3.07,3.48,2,6.87,1,0.93
student,pupil,9.35,4.92,4.55,3,6.83,1,1.11
world,globe,6.67,4.36,4.59,3,6.79,1,0.67
leg,arm,2.88,4.83,4.96,4,6.73,1,0.79
plane,jet,8.1,4.92,4.77,4,6.62,1,1.24
woman,man,3.33,4.46,4.79,3,6.6,1,1.42
horse,colt,7.07,5,4.96,4,6.54,1,0.84
actress,actor,7.12,4.54,4.57,3,5.78,1,1.3
teacher,instructor,9.25,4.52,4.26,3,5.66,1,1.53
movie,film,8.87,4.59,4.71,3,5.43,1,1.72
bird,hawk,7.85,5,4.93,4,5.29,1,0.91
word,dictionary,3.68,3.56,4.62,3,5.2,1,1.56
money,salary,7.88,4.54,3.69,3,5.16,1,1.11
dog,cat,1.75,4.85,4.86,4,5.13,1,1.3
area,region,9.47,3.72,3.19,2,5.12,1,0.58
navy,army,6.43,3.93,4.7,3,5,1,0.53
book,literature,7.53,4.9,4.1,3,4.86,1,0.45
clothes,closet,3.27,4.76,4.83,4,4.83,1,1.29
sunset,sunrise,2.47,4.54,4.69,3,4.8,1,1.12
child,adult,2.98,4.78,4.4,3,4.59,1,1.48
cow,cattle,9.52,4.96,4.64,4,4.39,1,0.79
book,story,5.63,4.9,3.3,3,4.19,1,0.78
winter,summer,2.38,3.84,3.64,3,3.96,1,0.47
taxi,cab,9.2,4.93,4.88,4,3.86,1,1.23
tree,maple,5.53,5,4.46,3,3.67,1,1.19
bed,bedroom,3.4,5,4.9,4,3.53,1,1.25
roof,ceiling,7.58,4.79,4.85,4,3.5,1,0.77
disease,infection,7.15,3.45,4.1,3,3.45,1,1.08
arm,shoulder,4.85,4.96,4.93,4,3.35,1,1.81
sheep,lamb,8.42,4.9,4.97,4,3.33,1,1.51
lady,gentleman,3.42,4.33,3.57,3,3.29,1,1.08
boat,anchor,2.25,4.93,4.77,4,3.25,1,1.1
priest,monk,6.28,4.77,4.35,3,3.23,1,0.61
toe,finger,4.68,4.93,5,4,3.22,1,0.55
river,stream,7.3,4.89,4.5,3,3.21,1,0.81
anger,fury,8.73,2.41,2.89,2,3.06,1,1.89
date,calendar,4.42,3.9,4.62,3,3.05,1,1.5
sea,ocean,8.27,4.79,4.86,4,2.91,1,1.3
second,minute,4.62,3.3,3.04,2,2.84,1,1.15
hand,thumb,3.88,4.72,4.96,4,2.84,1,0.44
wood,log,7.3,4.85,4.96,4,2.79,1,0.87
mud,dirt,7.32,4.86,4.86,4,2.76,1,0.48
hallway,corridor,9.28,4.74,4.72,3,2.7,1,0.76
way,manner,7.62,2.34,1.62,1,2.56,1,0.44
mouse,cat,1.12,4.83,4.86,4,2.56,1,1.02
cop,sheriff,9.05,4.3,4.5,3,2.54,1,1.55
death,burial,4.93,3.73,3.93,3,2.46,1,1.88
music,melody,6.98,4.31,3.71,3,2.43,1,1.36
beer,alcohol,7.5,4.88,4.76,4,2.4,1,1.07
mouth,lip,7.1,4.74,4.96,4,2.28,1,1.4
storm,hurricane,6.38,4.7,4.59,3,2.27,1,0.9
tax,income,2.38,3.89,3.07,2,2.25,1,1.15
flower,violet,6.95,5,4.48,4,2.22,1,1.72
paper,cardboard,5.38,4.93,4.9,4,2.2,1,1.22
floor,ceiling,1.73,4.8,4.85,4,2.18,1,0.97
beach,seashore,8.33,4.79,4.63,3,2.15,1,0.47
rod,curtain,3.03,4.43,4.82,3,2.13,1,0.39
hound,fox,2.38,4.48,4.97,3,2.13,1,1.36
street,alley,5.48,4.75,4.82,4,2.07,1,1.62
boat,deck,4.28,4.93,4.77,4,2.04,1,1.39
car,horn,2.57,4.89,5,4,2.04,1,0.79
friend,guest,4.25,3.07,3.83,2,1.97,1,1.41
employer,employee,3.65,3.81,4.1,3,1.96,1,0.95
hand,wrist,3.97,4.72,4.93,4,1.96,1,1.32
ball,cannon,2.58,5,4.79,4,1.96,1,1.82
alcohol,brandy,6.98,4.76,4.81,4,1.93,1,0.57
victory,triumph,8.98,2.55,2.17,1,1.9,1,0.94
telephone,booth,3.63,4.96,4.42,3,1.88,1,1.1
door,doorway,5.4,4.81,4.75,4,1.88,1,1.86
motel,inn,8.17,4.93,4.64,4,1.86,1,0.39
clothes,cloth,5.47,4.76,4.9,4,1.82,1,1.43
steak,meat,7.47,4.96,4.9,4,1.81,1,1.34
nail,thumb,3.55,4.93,4.96,4,1.76,1,1.16
band,orchestra,7.08,4.68,4.79,4,1.75,1,1.36
book,bible,5,4.9,4.61,4,1.74,1,1.43
business,industry,7.02,3.28,3.29,2,1.73,1,1.1
winter,season,6.27,3.84,3.32,2,1.71,1,1.76
decade,century,3.48,3.19,2.83,2,1.64,1,1.36
alcohol,gin,8.65,4.76,4.46,3,1.64,1,1.17
hat,coat,2.67,4.88,4.97,4,1.62,1,1.76
window,door,3.33,4.86,4.81,4,1.56,1,1.6
arm,wrist,3.57,4.96,4.93,4,1.55,1,1.33
house,apartment,5.8,5,4.9,4,1.54,1,1.4
glass,crystal,6.27,4.82,4.58,3,1.52,1,1.48
wine,brandy,5.15,4.79,4.81,4,1.52,1,1.67
creator,maker,9.62,3.07,3.9,2,1.51,1,1.4
dinner,breakfast,3.33,4.5,4.43,3,1.49,1,1.72
arm,muscle,3.72,4.96,4.5,3,1.45,1,0.83
bubble,suds,8.57,4.6,4.59,3,1.42,1,1.59
bread,flour,3.33,4.92,4.97,4,1.42,1,1.25
death,tragedy,5.8,3.73,2.07,2,1.41,1,1.13
absence,presence,0.4,2.31,2.72,1,1.38,1,1.5
gun,cannon,5.68,4.83,4.79,4,1.35,1,1.56
grass,blade,4.57,4.93,4.93,4,1.34,1,1.53
ball,basket,1.67,5,5,4,1.33,1,1.08
hose,garden,1.67,4.87,4.73,4,1.32,1,1.1
boy,kid,7.5,4.76,4.56,3,1.28,1,1.44
church,choir,2.95,4.9,4.34,3,1.27,1,1.43
clothes,drawer,3.02,4.76,4.67,3,1.27,1,1.49
tower,bell,1.9,4.76,4.96,4,1.22,1,1.41
father,parent,7.07,4.52,4.56,3,1.19,1,1.06
school,grade,4.42,4.79,3,3,1.18,1,1.32
parent,adult,5.37,4.56,4.4,3,1.15,1,1.6
bar,jail,1.9,4.67,4.83,4,1.15,1,1.12
car,highway,3.4,4.89,4.72,4,1.15,1,1.77
dictionary,definition,6.25,4.62,3.07,3,1.14,1,1.06
door,cellar,1.97,4.81,4.68,4,1.13,1,1.47
army,legion,5.95,4.7,2.69,2,1.11,1,1.29
metal,aluminum,7.25,4.87,4.88,4,1.1,1,1.76
chair,bench,6.67,4.58,4.87,3,1.09,1,1.22
cloud,fog,6,4.54,4.66,3,1.05,1,1.04
boy,son,6.75,4.76,4.14,3,1.03,1,0.88
water,ice,6.47,5,4.89,4,1.03,1,1.66
bed,blanket,3.02,5,5,4,1.02,1,1.48
attorney,lawyer,9.35,4.52,4.7,3,1.01,1,1.4
area,zone,8.33,3.72,3.07,2,0.97,1,0.89
business,company,9.02,3.28,4.11,3,0.97,1,0.47
clothes,fabric,5.87,4.76,4.63,3,0.96,1,1.66
sweater,jacket,7.15,4.78,4.86,4,0.96,1,1.13
money,capital,6.67,4.54,4.1,3,0.95,1,0.97
hand,foot,4.17,4.72,4.9,4,0.95,1,1.41
alcohol,cocktail,6.73,4.76,4.4,3,0.93,1,1.2
yard,inch,3.78,4.82,4.37,3,0.93,1,1.4
molecule,atom,6.45,3.27,3.34,2,0.92,1,1.56
lens,camera,4.28,4.64,5,4,0.9,1,1.89
meal,dinner,7.15,4.62,4.5,3,0.88,1,2
eye,tear,3.55,4.9,4.56,3,0.88,1,1.48
god,devil,1.8,2.07,3.41,2,0.87,1,1.1
loop,belt,3.1,4.26,4.9,3,0.87,1,1.74
rat,mouse,7.78,4.85,4.83,4,0.87,1,0.93
motor,engine,8.65,4.84,4.86,4,0.87,1,1.47
car,cab,7.42,4.89,4.88,4,0.87,1,1.15
cat,lion,6.75,4.86,4.96,4,0.85,1,0.84
size,magnitude,6.33,3.13,2.43,2,0.84,1,0.59
reality,fantasy,1.03,1.72,1.59,1,0.83,1,0.89
door,gate,5.25,4.81,4.96,4,0.83,1,1.47
cat,pet,5.95,4.86,4.71,4,0.82,1,1.41
tin,aluminum,6.42,4.87,4.88,4,0.82,1,1.3
bone,jaw,4.17,4.9,4.87,4,0.82,1,0.44
cereal,wheat,3.75,4.83,4.89,4,0.81,1,1.72
house,key,1.9,5,4.89,4,0.8,1,1.09
blood,flesh,4.28,4.86,4.59,3,0.79,1,1.74
door,corridor,3.73,4.81,4.72,4,0.79,1,1.11
god,spirit,7.3,2.07,1.6,1,0.77,1,1.63
capability,competence,7.62,1.93,1.78,1,0.77,1,0.84
abundance,plenty,8.97,2.21,2.39,1,0.77,1,1.02
sofa,chair,6.67,4.9,4.58,4,0.77,1,1.56
wall,brick,4.68,4.86,4.83,4,0.77,1,1.16
horn,drum,2.68,5,4.96,4,0.77,1,0.47
organ,liver,6.15,4.77,4.68,3,0.76,1,1.12
strength,might,7.07,2.96,2.32,2,0.74,1,0.8
phrase,word,5.48,2.86,3.56,2,0.74,1,1.73
band,parade,3.92,4.68,4.54,3,0.74,1,1.74
stomach,waist,5.9,4.89,4.72,4,0.74,1,1.49
cloud,storm,5.6,4.54,4.7,3,0.73,1,1.47
joy,pride,5,2.37,1.66,1,0.72,1,0.9
noise,rattle,6.17,3.52,4.07,3,0.72,1,1.33
rain,mist,5.97,4.97,4.51,4,0.71,1,1.83
beer,beverage,5.42,4.88,4.6,4,0.71,1,1.34
man,uncle,3.92,4.79,4.24,3,0.7,1,1.36
apple,juice,2.88,5,4.89,4,0.7,1,1.65
intelligence,logic,6.5,2.24,1.72,1,0.68,1,1.2
communication,language,7.47,2.9,2.35,2,0.68,1,1.09
mink,fur,6.83,4.58,4.69,3,0.68,1,0.39
mob,crowd,7.85,3.88,4.52,3,0.67,1,1.2
shore,coast,8.83,4.79,4.21,3,0.67,1,1.53
wire,cord,7.62,4.72,4.63,3,0.67,1,1.35
bird,turkey,6.58,5,4.89,4,0.67,1,1.6
bed,crib,7.3,5,4.86,4,0.65,1,1.56
competence,ability,7.5,1.78,1.81,1,0.63,1,0.6
cloud,haze,7.32,4.54,4.04,3,0.63,1,1.68
supper,meal,7.53,4.63,4.62,3,0.63,1,0.47
bar,cage,2.8,4.67,5,4,0.63,1,0.51
water,salt,1.3,5,4.89,4,0.63,1,0.94
sense,intuition,7.68,2.61,1.67,1,0.62,1,1.24
situation,condition,6.58,2.03,2.15,1,0.61,1,1.41
crime,theft,7.53,3.03,2.93,2,0.61,1,1.32
style,fashion,8.5,2.67,3.43,2,0.61,1,0.87
boundary,border,9.08,3.04,4.29,2,0.61,1,0.44
arm,body,4.05,4.96,4.79,4,0.61,1,0.51
boat,car,2.37,4.93,4.89,4,0.61,1,1.17
sandwich,lunch,6.3,4.9,4.31,3,0.58,1,1.53
bride,princess,2.8,4.63,4.72,3,0.58,1,0.92
heroine,hero,8.78,4.21,3.07,2,0.56,1,1.79
car,gauge,1.13,4.89,4,3,0.56,1,1.47
insect,bee,6.07,4.89,4.88,4,0.55,1,1.34
crib,cradle,8.55,4.86,4.93,4,0.55,1,1.15
animal,person,3.05,4.61,4.72,3,0.54,1,1.38
marijuana,herb,6.5,4.89,4.57,3,0.54,1,0.59
bed,hospital,0.92,5,4.64,4,0.54,1,1.35
cheek,tongue,4.52,4.83,4.93,4,0.54,1,0.47
disc,computer,3.2,4.85,4.93,4,0.54,1,0.44
curve,angle,3.33,4.41,3.5,3,0.53,1,1.51
grass,moss,5,4.93,4.9,4,0.53,1,1.27
school,law,1.13,4.79,2.57,2,0.52,1,1.49
foot,head,2.3,4.9,4.75,4,0.52,1,0.62
mother,guardian,6.5,4.6,3.28,3,0.51,1,1.13
orthodontist,dentist,8.27,4.43,4.93,3,0.51,1,1.47
alcohol,whiskey,7.27,4.76,4.74,4,0.51,1,1.19
mouth,tooth,6.3,4.74,4.89,4,0.51,1,1.39
breakfast,bacon,4.37,4.43,4.9,3,0.5,1,1.46
bathroom,bedroom,3.4,4.52,4.9,3,0.5,1,1.73
plate,bowl,5.23,4.77,4.87,4,0.5,1,1.46
meat,bacon,5.8,4.9,4.9,4,0.5,1,1.5
air,helium,3.63,4.11,3.96,3,0.49,1,1.59
worker,employer,5.37,4.59,3.81,3,0.49,1,1.4
body,chest,4.45,4.79,4.93,4,0.49,1,1.45
son,father,3.82,4.14,4.52,3,0.48,1,1.75
heart,surgery,1.08,4.52,4.34,3,0.48,1,1.07
woman,secretary,1.98,4.46,4.54,3,0.48,1,1.6
man,father,4.83,4.79,4.52,3,0.48,1,1.62
beach,island,5.6,4.79,4.96,4,0.48,1,0.39
story,topic,5,3.3,2.59,2,0.47,1,1.7
game,fun,3.42,4.5,1.97,2,0.47,1,2.07
weekend,week,4,3.83,3.48,2,0.47,1,1.57
couple,pair,8.33,3.93,3.88,3,0.47,1,1.5
woman,wife,5.72,4.46,4.13,3,0.47,1,1.35
sheep,cattle,4.77,4.9,4.64,4,0.47,1,0.47
purse,bag,8.33,4.9,4.9,4,0.47,1,1.39
ceiling,cathedral,2.42,4.85,4.86,4,0.46,1,1.57
bean,coffee,5.15,5,4.81,4,0.46,1,1.52
wood,paper,2.88,4.85,4.93,4,0.44,0,1.55
top,side,1.9,3.93,3.68,3,0.43,0,1.29
crime,fraud,5.65,3.03,1.68,1,0.42,0,1.18
pain,harm,5.38,3.5,2.62,2,0.42,0,0.95
lover,companion,5.97,3.68,3.75,3,0.42,0,0.8
evening,dusk,7.78,3.26,4.24,3,0.42,0,1.32
father,daughter,2.62,4.52,4.79,3,0.42,0,1.69
wine,liquor,7.85,4.79,4.73,4,0.42,0,0.78
cow,goat,2.93,4.96,5,4,0.42,0,0.59
belief,opinion,7.7,1.19,1.93,1,0.41,0,1.24
reality,illusion,1.42,1.72,2.48,1,0.41,0,1.36
pact,agreement,9.02,2.52,2.22,1,0.41,0,1.2
wealth,poverty,1.27,2.63,2.54,1,0.41,0,1.47
accident,emergency,4.93,3.26,2.41,2,0.41,0,0.49
battle,conquest,7.22,4,2.54,2,0.41,0,0.89
friend,teacher,2.62,3.07,4.52,3,0.41,0,1.29
illness,infection,6.9,3.54,4.1,3,0.41,0,1.28
game,trick,2.32,4.5,3.36,3,0.41,0,1.02
brother,son,3.48,4.43,4.14,3,0.41,0,1.61
aunt,nephew,3.1,4.17,4.48,3,0.41,0,1.31
worker,mechanic,4.92,4.59,4.38,3,0.41,0,1.2
doctor,orthodontist,5.58,4.69,4.43,3,0.41,0,1.25
oak,maple,6.03,4.82,4.46,3,0.41,0,0.39
bee,queen,3.27,4.88,4.45,3,0.41,0,1.2
car,bicycle,3.47,4.89,4.89,4,0.41,0,1.68
goal,quest,5.83,3.06,2.87,2,0.4,0,1.31
august,month,5.53,3.04,4.2,2,0.4,0,1.54
army,squad,5.08,4.7,3.65,3,0.4,0,1.61
cloud,weather,4.87,4.54,3.83,3,0.4,0,0.94
physician,doctor,8.88,4.65,4.69,3,0.4,0,1.5
canyon,valley,6.75,4.81,4.72,4,0.4,0,1.39
river,valley,1.67,4.89,4.72,4,0.4,0,1.23
sun,sky,2.27,4.83,4.45,3,0.39,0,1.67
target,arrow,3.25,4.11,4.97,3,0.38,0,1.74
chocolate,pie,2.27,4.72,4.92,4,0.38,0,1.79
circumstance,situation,7.85,1.77,2.03,1,0.36,0,1.31
opinion,choice,5.43,1.93,1.9,1,0.36,0,1.5
rhythm,melody,6.12,3.07,3.71,2,0.36,0,1.27
gut,nerve,4.93,4.15,3.89,3,0.36,0,1.65
day,dawn,5.47,3.92,4.46,3,0.36,0,1.45
cattle,beef,7.03,4.64,4.74,3,0.36,0,1.53
doctor,professor,4.65,4.69,4.86,4,0.36,0,1.19
arm,vein,3.65,4.96,4.63,4,0.36,0,1.62
room,bath,3.33,4.79,4.85,4,0.36,0,0.49
corporation,business,9.02,2.79,3.28,2,0.35,0,1.44
fun,football,1.97,1.97,4.73,2,0.35,0,1.43
hill,cliff,4.28,4.93,4.71,4,0.35,0,1.26
bone,ankle,3.82,4.9,4.81,4,0.35,0,0.69
apple,candy,2.08,5,4.83,4,0.35,0,0.75
helper,maid,5.58,3.39,4.64,3,0.34,0,0.44
leader,manager,7.27,3.89,4.14,3,0.34,0,1.43
lemon,tea,1.6,5,4.69,4,0.34,0,1.33
bee,ant,2.78,4.88,4.86,4,0.34,0,1.04
basketball,baseball,4.92,4.97,4.86,4,0.34,0,0.93
rice,bean,2.72,4.86,5,4,0.34,0,1.27
bed,furniture,6.08,5,4.89,4,0.34,0,0.84
emotion,passion,7.72,2.44,2.3,1,0.33,0,1.3
anarchy,chaos,7.93,2.12,2.79,1,0.33,0,1.35
crime,violation,7.12,3.03,2.67,2,0.33,0,0.87
machine,engine,5.58,4.25,4.86,3,0.33,0,1.95
beach,sea,4.68,4.79,4.79,4,0.33,0,1.08
alley,bowl,1.53,4.82,4.87,4,0.33,0,0.51
jar,bottle,7.83,5,4.91,4,0.33,0,1.44
strength,capability,5.28,2.96,1.93,1,0.32,0,1.33
seed,mustard,3.48,4.71,4.93,4,0.32,0,0.59
guitar,drum,3.78,4.9,4.96,4,0.32,0,1.72
opinion,idea,5.7,1.93,1.61,1,0.31,0,1.29
north,west,3.63,4.14,3.44,3,0.31,0,1.6
diet,salad,2.98,3.21,4.97,3,0.31,0,1.6
mother,wife,3.02,4.6,4.13,3,0.31,0,1.62
dad,mother,3.55,4.29,4.6,3,0.31,0,1.44
captain,sailor,5,4.19,4.86,3,0.31,0,1.43
meter,yard,5.6,4.7,4.82,4,0.31,0,1.32
beer,champagne,4.45,4.88,4.82,4,0.31,0,1.2
motor,boat,2.57,4.84,4.93,4,0.31,0,1.45
card,bridge,1.97,4.9,4.97,4,0.31,0,1.69
science,psychology,4.92,2.79,2.31,1,0.3,0,1.91
sinner,saint,1.6,3.07,3.45,2,0.3,0,1.39
destruction,construction,0.98,3.21,3.72,2,0.3,0,1.69
crowd,bunch,7.42,4.52,3.5,3,0.3,0,1.37
beach,reef,3.77,4.79,4.7,4,0.3,0,1.85
man,child,4.13,4.79,4.78,4,0.3,0,1.34
bread,cheese,1.95,4.92,4.7,4,0.3,0,1.52
champion,winner,8.73,3.82,3.21,2,0.29,0,1.15
celebration,ceremony,7.72,3.47,3.57,2,0.29,0,0.61
menu,order,3.62,4.67,2.79,3,0.29,0,1.42
king,princess,3.27,4.1,4.72,3,0.29,0,1.7
wealth,prestige,6.07,2.63,1.61,1,0.28,0,1.55
endurance,strength,6.58,2,2.96,1,0.28,0,0.59
danger,threat,8.78,2.68,2.52,2,0.28,0,1.56
god,priest,4.5,2.07,4.77,2,0.28,0,1.2
men,fraternity,3.13,4.75,2.46,2,0.28,0,1.11
buddy,companion,8.65,3.48,3.75,2,0.28,0,1.64
teacher,helper,4.28,4.52,3.39,3,0.28,0,1.65
body,stomach,3.93,4.79,4.89,4,0.28,0,1.15
tongue,throat,3.1,4.93,4.97,4,0.28,0,1.31
house,carpet,1.38,5,4.96,4,0.28,0,1.44
intelligence,skill,5.35,2.24,2.17,1,0.27,0,1.29
journey,conquest,4.72,2.57,2.54,1,0.27,0,1.12
god,prey,1.23,2.07,3.61,2,0.27,0,1.73
brother,soul,0.97,4.43,1.86,2,0.27,0,1.18
adversary,opponent,9.05,2.93,3.52,2,0.27,0,1.4
death,catastrophe,4.13,3.73,2.96,2,0.27,0,1.46
monster,demon,6.95,3.72,3.32,2,0.27,0,1.5
day,morning,4.87,3.92,3.44,2,0.27,0,1.95
man,victor,1.9,4.79,2.88,3,0.27,0,1.67
friend,guy,3.88,3.07,4.68,3,0.27,0,1.49
song,story,3.97,4.46,3.3,3,0.27,0,1.27
ray,sunshine,6.83,3.57,4.21,3,0.27,0,1.55
guy,stud,5.83,4.68,4,3,0.27,0,1.7
chicken,rice,1.43,4.8,4.86,4,0.27,0,1.47
box,elevator,1.32,4.9,4.79,4,0.27,0,1.28
butter,potato,1.22,4.9,4.85,4,0.27,0,1.19
apartment,furniture,1.28,4.9,4.89,4,0.27,0,1.72
lake,swamp,4.92,4.88,4.96,4,0.27,0,1.6
salad,vinegar,1.13,4.97,4.89,4,0.27,0,1.65
flower,bulb,4.48,5,4.93,4,0.27,0,1.27
cloud,mist,6.67,4.54,4.51,3,0.26,0,1.43
